Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1048,d,c,1860.0,9,2012,1,40,2012,"Jan,Apr,Jul,Oct"
1049,a,a,370.0,7,2012,1,14,2011,"Jan,Apr,Jul,Oct"
1050,d,c,13170.0,8,2014,1,9,2011,"Mar,Jun,Sept,Dec"
1051,c,a,200.0,7,1998,1,1,2012,"Jan,Apr,Jul,Oct"
1062,d,a,190.0,9,2012,1,40,2012,"Feb,May,Aug,Nov"
1071,a,a,820.0,3,2012,1,35,2012,"Mar,Jun,Sept,Dec"
1072,a,c,5380.0,8,2015,1,5,2010,"Feb,May,Aug,Nov"
1074,c,c,3330.0,10,2001,1,14,2011,"Jan,Apr,Jul,Oct"
1077,a,a,3750.0,11,2001,1,35,2010,"Mar,Jun,Sept,Dec"
1086,a,a,180.0,11,2013,1,18,2011,"Feb,May,Aug,Nov"
1088,a,a,4300.0,3,2009,1,27,2013,"Jan,Apr,Jul,Oct"
1092,a,a,300.0,7,2000,1,40,2014,"Jan,Apr,Jul,Oct"
1094,d,a,2380.0,3,2013,1,40,2014,"Jan,Apr,Jul,Oct"
1095,a,a,690.0,6,2007,1,14,2011,"Jan,Apr,Jul,Oct"
1099,a,c,200.0,4,2013,1,14,2013,"Jan,Apr,Jul,Oct"
1102,a,a,850.0,11,2012,1,40,2014,"Jan,Apr,Jul,Oct"
1103,d,c,1340.0,10,2006,1,5,2013,"Feb,May,Aug,Nov"
1104,d,a,260.0,2,2012,1,14,2011,"Jan,Apr,Jul,Oct"
1105,c,c,330.0,11,2008,1,5,2013,"Feb,May,Aug,Nov"
1106,a,c,5330.0,9,2011,1,31,2013,"Jan,Apr,Jul,Oct"
1107,a,a,1400.0,6,2012,1,13,2010,"Jan,Apr,Jul,Oct"
1109,c,a,3490.0,4,2011,1,22,2012,"Jan,Apr,Jul,Oct"
1111,a,a,1900.0,6,2014,1,31,2013,"Jan,Apr,Jul,Oct"
